Accident_ID,Severity,State,City,Weather_Condition,Road_Condition,Light_Condition,Hour_Of_Day,Is_Weekend
A-100415,2,NC,Charlotte,Clear,Dry,Dark - No Lights,0,0
A-100416,1,TX,Houston,Snow,Snow Cover,Daylight,18,0
A-100417,2,IL,Chicago,Fog,Dry,Daylight,8,0
A-100418,1,NY,New York,Clear,Dry,Daylight,16,0
A-100419,1,FL,Miami,Clear,Dry,Daylight,12,1
A-100420,1,IL,Chicago,Clear,Dry,Daylight,17,0
A-100421,1,AZ,Phoenix,Clear,Dry,Dawn,5,0
A-100422,2,TX,Houston,Clear,Dry,Daylight,15,0
A-100423,2,TX,Houston,Rain,Wet,Daylight,11,0
A-100424,2,NC,Charlotte,Clear,Dry,Daylight,18,1
A-100425,3,AZ,Phoenix,Snow,Icy,Daylight,9,0
A-100426,2,FL,Miami,Rain,Wet,Daylight,14,0
A-100427,2,NY,New York,Clear,Dry,Daylight,7,0
A-100428,2,FL,Miami,Clear,Dry,Daylight,12,1
A-100429,1,CA,Los Angeles,Clear,Wet,Dark - Street Lights,23,0
A-100430,1,TX,Houston,Heavy Rain,Wet,Daylight,16,0
A-100431,2,NY,New York,Fog,Dry,Daylight,7,0
A-100432,1,AZ,Phoenix,Rain,Wet,Daylight,11,0
A-100433,2,CA,San Diego,Clear,Wet,Daylight,8,0
A-100434,1,AZ,Phoenix,Rain,Wet,Daylight,14,0
A-100435,2,AZ,Phoenix,Clear,Dry,Daylight,16,0
A-100436,1,NC,Charlotte,Rain,Wet,Daylight,15,1
A-100437,3,CA,Los Angeles,Clear,Construction Zone,Daylight,16,0
A-100438,4,NY,New York,Snow,Icy,Daylight,7,1
A-100439,4,CA,Los Angeles,Rain,Wet,Daylight,9,0
A-100440,1,CA,San Diego,Clear,Wet,Daylight,13,0
A-100441,1,TX,Houston,Rain,Wet,Daylight,8,1
A-100442,1,CA,Los Angeles,Clear,Dry,Dark - Street Lights,4,0
A-100443,2,CA,Los Angeles,Heavy Rain,Wet,Daylight,14,0
A-100444,3,AZ,Phoenix,Snow,Icy,Dusk,19,0
A-100445,1,CA,Los Angeles,Overcast,Construction Zone,Daylight,7,0
A-100446,2,NC,Charlotte,Clear,Dry,Daylight,18,0
A-100447,2,IL,Chicago,Clear,Dry,Daylight,7,0
A-100448,2,NC,Charlotte,Heavy Rain,Wet,Dark - Street Lights,23,0
A-100449,1,AZ,Phoenix,Rain,Wet,Dark - Street Lights,1,0
A-100450,1,AZ,Phoenix,Clear,Dry,Daylight,18,0
A-100451,1,NC,Charlotte,Clear,Dry,Dark - Street Lights,21,0
A-100452,1,AZ,Phoenix,Overcast,Dry,Daylight,16,0
A-100453,2,TX,Houston,Rain,Wet,Daylight,15,0
A-100454,2,TX,Houston,Clear,Wet,Daylight,8,1
A-100455,2,IL,Chicago,Clear,Dry,Daylight,9,1
A-100456,2,CA,San Diego,Clear,Dry,Daylight,7,1
A-100457,4,FL,Miami,Snow,Icy,Daylight,12,0
A-100458,1,NY,New York,Clear,Wet,Daylight,17,0
A-100459,1,CA,San Diego,Clear,Dry,Daylight,16,0
A-100460,2,TX,Houston,Clear,Dry,Dark - Street Lights,2,0
A-100461,2,TX,Houston,Snow,Icy,Daylight,6,1
A-100462,1,AZ,Phoenix,Rain,Wet,Daylight,10,0
A-100463,4,CA,San Diego,Fog,Dry,Dark - Street Lights,1,1
A-100464,3,IL,Chicago,Clear,Construction Zone,Daylight,6,0
A-100465,3,AZ,Phoenix,Clear,Dry,Daylight,13,0
A-100466,1,NY,New York,Clear,Dry,Daylight,8,0
A-100467,1,NY,New York,Clear,Dry,Daylight,13,0
A-100468,3,AZ,Phoenix,Rain,Wet,Daylight,7,0
A-100469,3,CA,Los Angeles,Clear,Dry,Dark - Street Lights,23,0
A-100470,3,IL,Chicago,Clear,Dry,Daylight,10,1
A-100471,4,NY,New York,Rain,Wet,Dark - No Lights,4,0
A-100472,2,CA,San Diego,Rain,Wet,Daylight,8,1
A-100473,4,FL,Miami,Clear,Construction Zone,Daylight,14,0
A-100474,4,TX,Houston,Snow,Snow Cover,Daylight,7,0
A-100475,3,CA,Los Angeles,Rain,Wet,Daylight,16,0
A-100476,2,NC,Charlotte,Clear,Dry,Daylight,13,1
A-100477,1,CA,Los Angeles,Fog,Dry,Daylight,13,1
A-100478,3,TX,Houston,Clear,Dry,Dark - Street Lights,20,0
A-100479,3,CA,San Diego,Overcast,Dry,Daylight,18,0
A-100480,3,AZ,Phoenix,Clear,Construction Zone,Daylight,14,0
A-100481,4,AZ,Phoenix,Rain,Wet,Daylight,17,0
A-100482,2,IL,Chicago,Clear,Dry,Daylight,7,0
A-100483,4,TX,Houston,Heavy Rain,Wet,Daylight,7,1
A-100484,3,CA,Los Angeles,Snow,Snow Cover,Daylight,7,0
A-100485,2,CA,San Diego,Heavy Rain,Wet,Dark - No Lights,20,1
A-100486,1,CA,San Diego,Heavy Rain,Wet,Daylight,17,0
A-100487,1,FL,Miami,Clear,Dry,Daylight,8,1
A-100488,3,AZ,Phoenix,Clear,Dry,Daylight,11,0
A-100489,2,IL,Chicago,Clear,Wet,Daylight,13,1
A-100490,2,FL,Miami,Snow,Icy,Daylight,7,1
A-100491,1,CA,San Diego,Clear,Dry,Dusk,5,1
A-100492,2,NC,Charlotte,Rain,Wet,Daylight,16,0
A-100493,2,CA,Los Angeles,Clear,Dry,Daylight,6,1
A-100494,2,NY,New York,Clear,Dry,Daylight,15,0
A-100495,2,NC,Charlotte,Clear,Dry,Daylight,7,0
A-100496,1,NC,Charlotte,Clear,Dry,Daylight,7,1
A-100497,1,CA,San Diego,Clear,Dry,Daylight,8,0
A-100498,1,AZ,Phoenix,Clear,Dry,Daylight,7,0
A-100499,2,NC,Charlotte,Rain,Wet,Daylight,8,0
A-100500,3,CA,San Diego,Rain,Construction Zone,Dusk,5,0
A-100501,3,AZ,Phoenix,Rain,Construction Zone,Daylight,17,0
A-100502,3,FL,Miami,Fog,Dry,Daylight,12,1
A-100503,4,TX,Houston,Clear,Construction Zone,Daylight,6,0
A-100504,4,FL,Miami,Overcast,Dry,Daylight,6,0
A-100505,1,TX,Houston,Fog,Construction Zone,Daylight,18,1
A-100506,4,AZ,Phoenix,Snow,Icy,Daylight,14,0
A-100507,2,CA,Los Angeles,Rain,Wet,Daylight,17,0
A-100508,1,TX,Houston,Overcast,Dry,Daylight,14,0
A-100509,2,CA,San Diego,Fog,Wet,Daylight,17,0
A-100510,2,NC,Charlotte,Clear,Dry,Daylight,14,0
A-100511,3,AZ,Phoenix,Clear,Dry,Dark - Street Lights,3,0
A-100512,2,IL,Chicago,Clear,Dry,Dark - Street Lights,1,0
A-100513,1,CA,San Diego,Clear,Dry,Dark - Street Lights,22,1
A-100514,3,AZ,Phoenix,Clear,Construction Zone,Daylight,14,1
A-100515,2,NC,Charlotte,Snow,Icy,Daylight,16,0
A-100516,3,NY,New York,Snow,Icy,Daylight,16,0
A-100517,3,TX,Houston,Snow,Icy,Daylight,7,0
A-100518,3,IL,Chicago,Snow,Icy,Daylight,16,1
A-100519,4,CA,San Diego,Clear,Dry,Daylight,16,1
A-100520,2,NC,Charlotte,Clear,Wet,Daylight,14,0
A-100521,4,CA,San Diego,Clear,Dry,Daylight,8,0
A-100522,1,FL,Miami,Clear,Dry,Daylight,15,0
A-100523,1,CA,Los Angeles,Clear,Wet,Daylight,12,1
A-100524,3,NY,New York,Clear,Wet,Daylight,16,0
A-100525,1,NC,Charlotte,Rain,Wet,Daylight,8,0
A-100526,2,CA,San Diego,Overcast,Wet,Dark - Street Lights,0,0
A-100527,3,NY,New York,Clear,Construction Zone,Daylight,8,1
A-100528,1,NY,New York,Fog,Dry,Daylight,8,0
A-100529,3,FL,Miami,Snow,Snow Cover,Dawn,19,0
A-100530,1,CA,Los Angeles,Clear,Dry,Daylight,15,0
A-100531,3,CA,Los Angeles,Snow,Icy,Daylight,14,0
A-100532,1,NC,Charlotte,Rain,Wet,Dusk,19,0
A-100533,2,NC,Charlotte,Snow,Snow Cover,Daylight,6,1
A-100534,2,IL,Chicago,Clear,Wet,Daylight,15,1
A-100535,1,IL,Chicago,Clear,Dry,Daylight,10,0
A-100536,2,CA,San Diego,Clear,Dry,Daylight,12,1
A-100537,2,AZ,Phoenix,Clear,Dry,Dark - Street Lights,4,0
A-100538,1,NC,Charlotte,Clear,Dry,Daylight,6,0
A-100539,2,TX,Houston,Clear,Dry,Daylight,9,1
A-100540,2,TX,Houston,Clear,Dry,Daylight,12,0
A-100541,2,AZ,Phoenix,Clear,Dry,Daylight,11,0
A-100542,2,CA,Los Angeles,Rain,Wet,Dusk,19,0
A-100543,2,FL,Miami,Clear,Dry,Daylight,7,0
A-100544,2,NY,New York,Clear,Dry,Daylight,7,0
A-100545,3,IL,Chicago,Clear,Construction Zone,Daylight,11,0
A-100546,2,FL,Miami,Snow,Icy,Daylight,7,0
A-100547,2,TX,Houston,Rain,Wet,Daylight,7,1
A-100548,3,CA,Los Angeles,Heavy Rain,Wet,Daylight,10,0
A-100549,2,CA,Los Angeles,Clear,Dry,Daylight,15,0
A-100550,3,AZ,Phoenix,Heavy Rain,Wet,Daylight,6,1
A-100551,2,CA,Los Angeles,Rain,Wet,Daylight,8,0
A-100552,1,TX,Houston,Rain,Wet,Daylight,11,0
A-100553,4,CA,San Diego,Heavy Rain,Wet,Daylight,13,0
A-100554,1,IL,Chicago,Clear,Dry,Daylight,16,0
A-100555,4,NC,Charlotte,Rain,Construction Zone,Daylight,9,1
A-100556,1,NC,Charlotte,Rain,Wet,Daylight,6,1
A-100557,1,NY,New York,Overcast,Dry,Daylight,15,0
A-100558,2,TX,Houston,Clear,Dry,Daylight,18,0
A-100559,2,CA,San Diego,Clear,Wet,Daylight,6,0
A-100560,2,TX,Houston,Overcast,Dry,Daylight,9,0
A-100561,2,IL,Chicago,Clear,Construction Zone,Daylight,17,1
A-100562,1,AZ,Phoenix,Clear,Wet,Daylight,16,0
A-100563,2,TX,Houston,Fog,Dry,Daylight,16,1
A-100564,1,NC,Charlotte,Clear,Dry,Daylight,17,0
A-100565,3,CA,Los Angeles,Heavy Rain,Construction Zone,Daylight,18,0
A-100566,1,NC,Charlotte,Clear,Dry,Daylight,6,0
A-100567,1,FL,Miami,Clear,Dry,Dark - Street Lights,22,0
A-100568,3,FL,Miami,Rain,Wet,Daylight,12,0
A-100569,1,CA,Los Angeles,Rain,Wet,Dark - Street Lights,0,0
A-100570,2,NC,Charlotte,Clear,Dry,Daylight,9,0
A-100571,2,AZ,Phoenix,Clear,Wet,Daylight,10,1
A-100572,1,NC,Charlotte,Clear,Dry,Daylight,12,1
A-100573,3,AZ,Phoenix,Snow,Snow Cover,Dark - No Lights,3,0
A-100574,3,FL,Miami,Clear,Wet,Daylight,15,0
A-100575,1,NC,Charlotte,Rain,Wet,Daylight,9,0
A-100576,3,NC,Charlotte,Clear,Dry,Daylight,6,0
A-100577,2,NY,New York,Clear,Wet,Daylight,14,0
A-100578,2,AZ,Phoenix,Clear,Construction Zone,Daylight,6,0
A-100579,1,NC,Charlotte,Clear,Dry,Daylight,17,1
A-100580,2,CA,San Diego,Rain,Construction Zone,Daylight,17,0
A-100581,3,NC,Charlotte,Rain,Wet,Dark - Street Lights,0,0
A-100582,3,TX,Houston,Snow,Icy,Daylight,16,1
A-100583,3,IL,Chicago,Overcast,Construction Zone,Daylight,13,0
A-100584,1,NY,New York,Clear,Wet,Daylight,10,0
A-100585,2,NY,New York,Clear,Dry,Daylight,18,0
A-100586,2,FL,Miami,Clear,Dry,Daylight,7,0
A-100587,1,TX,Houston,Clear,Dry,Daylight,13,0
A-100588,4,NC,Charlotte,Heavy Rain,Wet,Daylight,14,0
A-100589,1,NY,New York,Clear,Dry,Daylight,18,0
A-100590,2,CA,Los Angeles,Heavy Rain,Wet,Daylight,15,1
A-100591,3,NY,New York,Snow,Icy,Daylight,6,1
A-100592,4,IL,Chicago,Snow,Snow Cover,Daylight,17,1
A-100593,3,AZ,Phoenix,Snow,Icy,Daylight,8,0
A-100594,2,AZ,Phoenix,Overcast,Dry,Daylight,10,0
A-100595,2,CA,Los Angeles,Snow,Snow Cover,Daylight,16,1
A-100596,2,FL,Miami,Rain,Wet,Dusk,19,0
A-100597,1,FL,Miami,Rain,Wet,Daylight,8,1
A-100598,2,CA,San Diego,Rain,Wet,Daylight,10,0
A-100599,3,NY,New York,Fog,Dry,Dark - No Lights,0,0
A-100600,1,NY,New York,Clear,Dry,Daylight,12,0
A-100601,3,FL,Miami,Snow,Icy,Dark - Street Lights,21,0
A-100602,1,IL,Chicago,Clear,Dry,Daylight,7,1
A-100603,2,NC,Charlotte,Overcast,Dry,Dark - Street Lights,23,0
A-100604,2,FL,Miami,Clear,Construction Zone,Dark - No Lights,21,0
A-100605,2,NY,New York,Heavy Rain,Wet,Dark - Street Lights,1,0
A-100606,4,NY,New York,Rain,Construction Zone,Dusk,19,1
A-100607,2,CA,Los Angeles,Rain,Wet,Daylight,15,1
A-100608,2,CA,San Diego,Snow,Snow Cover,Daylight,7,0
A-100609,1,CA,San Diego,Clear,Dry,Daylight,16,1
A-100610,3,CA,Los Angeles,Clear,Wet,Daylight,7,1
A-100611,2,AZ,Phoenix,Clear,Dry,Daylight,10,0
A-100612,3,CA,Los Angeles,Heavy Rain,Wet,Daylight,15,0
A-100613,2,CA,San Diego,Clear,Dry,Daylight,9,0
A-100614,2,NY,New York,Clear,Dry,Daylight,17,0
A-100615,4,FL,Miami,Snow,Icy,Daylight,6,0
A-100616,2,TX,Houston,Overcast,Wet,Daylight,8,0
A-100617,2,CA,Los Angeles,Clear,Dry,Daylight,14,0
A-100618,2,CA,San Diego,Fog,Dry,Daylight,8,0
A-100619,2,TX,Houston,Snow,Icy,Daylight,7,1
A-100620,2,CA,Los Angeles,Overcast,Dry,Daylight,18,0
A-100621,4,NY,New York,Clear,Dry,Daylight,15,1
A-100622,3,IL,Chicago,Clear,Dry,Daylight,6,0
A-100623,1,IL,Chicago,Rain,Wet,Daylight,12,0
A-100624,2,IL,Chicago,Clear,Dry,Daylight,17,0
A-100625,2,AZ,Phoenix,Rain,Wet,Daylight,8,0
A-100626,2,NC,Charlotte,Rain,Wet,Daylight,9,0
A-100627,3,NY,New York,Rain,Wet,Daylight,18,1
A-100628,3,CA,San Diego,Snow,Snow Cover,Daylight,16,0
A-100629,3,AZ,Phoenix,Clear,Dry,Daylight,17,1
A-100630,2,NC,Charlotte,Clear,Wet,Daylight,15,1
A-100631,1,NY,New York,Clear,Dry,Daylight,6,0
A-100632,2,FL,Miami,Rain,Wet,Daylight,18,0
A-100633,2,NC,Charlotte,Rain,Construction Zone,Daylight,7,0
A-100634,2,NC,Charlotte,Heavy Rain,Wet,Dark - Street Lights,20,1
A-100635,4,FL,Miami,Clear,Construction Zone,Daylight,13,0
A-100636,3,CA,Los Angeles,Heavy Rain,Wet,Dark - No Lights,22,0
A-100637,2,NY,New York,Clear,Dry,Daylight,14,0
A-100638,2,CA,San Diego,Fog,Dry,Daylight,13,0
A-100639,1,IL,Chicago,Rain,Wet,Daylight,12,0
A-100640,1,TX,Houston,Clear,Dry,Daylight,7,0
A-100641,2,CA,San Diego,Clear,Dry,Daylight,15,0
A-100642,1,NC,Charlotte,Snow,Icy,Daylight,7,1
A-100643,2,TX,Houston,Fog,Dry,Daylight,6,0
A-100644,3,TX,Houston,Overcast,Dry,Daylight,13,0
A-100645,1,NY,New York,Rain,Wet,Dark - Street Lights,21,1
A-100646,3,AZ,Phoenix,Snow,Icy,Daylight,14,0
A-100647,1,NY,New York,Fog,Dry,Daylight,7,0
A-100648,2,AZ,Phoenix,Clear,Wet,Daylight,10,1
A-100649,3,AZ,Phoenix,Clear,Construction Zone,Daylight,17,0
A-100650,1,CA,San Diego,Fog,Dry,Daylight,6,0
A-100651,1,AZ,Phoenix,Clear,Dry,Daylight,13,0
A-100652,2,NC,Charlotte,Rain,Wet,Daylight,17,0
A-100653,1,CA,San Diego,Heavy Rain,Construction Zone,Daylight,11,1
A-100654,3,AZ,Phoenix,Heavy Rain,Wet,Daylight,8,1
A-100655,2,CA,Los Angeles,Snow,Icy,Daylight,10,1
A-100656,2,AZ,Phoenix,Snow,Icy,Daylight,15,1
A-100657,1,NY,New York,Clear,Dry,Dark - Street Lights,23,0
A-100658,2,NC,Charlotte,Clear,Dry,Daylight,8,0
A-100659,1,CA,San Diego,Rain,Wet,Daylight,16,0
A-100660,1,AZ,Phoenix,Rain,Wet,Daylight,17,0
A-100661,2,AZ,Phoenix,Clear,Dry,Dark - No Lights,21,1
A-100662,3,CA,San Diego,Rain,Wet,Daylight,8,0
A-100663,4,AZ,Phoenix,Heavy Rain,Wet,Daylight,15,0
A-100664,3,TX,Houston,Clear,Dry,Daylight,15,0
A-100665,2,NY,New York,Rain,Wet,Daylight,7,0
A-100666,1,CA,Los Angeles,Overcast,Dry,Daylight,9,0
A-100667,2,AZ,Phoenix,Rain,Wet,Daylight,9,0
A-100668,2,CA,San Diego,Heavy Rain,Wet,Dark - Street Lights,20,0
A-100669,1,NY,New York,Clear,Dry,Daylight,7,0
A-100670,3,TX,Houston,Clear,Dry,Daylight,11,1
A-100671,4,NY,New York,Rain,Wet,Daylight,18,0
A-100672,2,NC,Charlotte,Overcast,Dry,Daylight,17,0
A-100673,1,CA,Los Angeles,Clear,Dry,Daylight,12,1
A-100674,2,FL,Miami,Clear,Dry,Daylight,17,0
A-100675,1,NY,New York,Rain,Wet,Daylight,8,1
A-100676,4,TX,Houston,Fog,Dry,Daylight,12,0
A-100677,2,FL,Miami,Heavy Rain,Construction Zone,Daylight,13,1
A-100678,1,FL,Miami,Clear,Dry,Daylight,18,0
A-100679,2,CA,San Diego,Rain,Wet,Daylight,15,0
A-100680,3,CA,Los Angeles,Clear,Wet,Daylight,18,0
A-100681,2,NY,New York,Fog,Dry,Daylight,12,0
A-100682,1,TX,Houston,Clear,Dry,Dark - Street Lights,4,0
A-100683,1,TX,Houston,Rain,Wet,Daylight,12,1
A-100684,1,FL,Miami,Clear,Wet,Daylight,10,1
A-100685,2,NY,New York,Rain,Wet,Daylight,8,0
A-100686,2,FL,Miami,Clear,Dry,Daylight,11,0
A-100687,3,TX,Houston,Snow,Snow Cover,Dark - No Lights,22,0
A-100688,1,AZ,Phoenix,Heavy Rain,Wet,Daylight,7,0
A-100689,3,AZ,Phoenix,Snow,Icy,Daylight,13,0
A-100690,2,NC,Charlotte,Rain,Wet,Daylight,8,0
A-100691,3,CA,Los Angeles,Snow,Icy,Daylight,7,1
A-100692,1,NY,New York,Fog,Dry,Daylight,9,0
A-100693,2,CA,San Diego,Rain,Wet,Daylight,9,0
A-100694,2,TX,Houston,Clear,Dry,Dark - Street Lights,22,0
A-100695,1,CA,San Diego,Rain,Wet,Daylight,10,0
A-100696,1,IL,Chicago,Clear,Construction Zone,Daylight,11,0
A-100697,2,IL,Chicago,Clear,Dry,Daylight,7,0
A-100698,2,NY,New York,Fog,Dry,Dawn,19,0
A-100699,2,TX,Houston,Clear,Dry,Daylight,18,1
A-100700,3,CA,San Diego,Clear,Construction Zone,Daylight,7,0
A-100701,2,CA,Los Angeles,Heavy Rain,Wet,Dark - Street Lights,2,0
A-100702,1,AZ,Phoenix,Clear,Dry,Daylight,8,1
A-100703,4,TX,Houston,Snow,Icy,Dark - Street Lights,2,0
A-100704,3,NY,New York,Fog,Dry,Daylight,14,1
A-100705,2,NC,Charlotte,Rain,Wet,Daylight,15,0
A-100706,1,NY,New York,Clear,Dry,Dawn,19,0
A-100707,1,NY,New York,Rain,Wet,Daylight,7,1
A-100708,3,NY,New York,Fog,Construction Zone,Daylight,12,1
A-100709,2,CA,Los Angeles,Rain,Wet,Daylight,17,0
A-100710,2,FL,Miami,Clear,Dry,Daylight,11,0
A-100711,2,AZ,Phoenix,Clear,Dry,Daylight,17,1
A-100712,4,NY,New York,Snow,Icy,Daylight,8,0
A-100713,2,TX,Houston,Clear,Dry,Daylight,6,1
A-100714,1,NC,Charlotte,Clear,Dry,Daylight,7,1
A-100715,1,CA,San Diego,Clear,Dry,Daylight,8,1
A-100716,4,CA,Los Angeles,Clear,Dry,Daylight,12,0
A-100717,1,NC,Charlotte,Clear,Dry,Daylight,16,1
A-100718,3,NY,New York,Clear,Dry,Daylight,17,1
A-100719,3,AZ,Phoenix,Heavy Rain,Wet,Daylight,17,1
A-100720,1,NC,Charlotte,Clear,Dry,Daylight,8,0
A-100721,2,FL,Miami,Clear,Dry,Daylight,12,0
A-100722,1,CA,Los Angeles,Clear,Dry,Daylight,16,0
A-100723,1,IL,Chicago,Clear,Dry,Dawn,19,0
A-100724,4,TX,Houston,Clear,Dry,Daylight,17,0
A-100725,2,NC,Charlotte,Heavy Rain,Wet,Daylight,16,1
A-100726,2,IL,Chicago,Rain,Wet,Dark - Street Lights,20,0
A-100727,2,CA,San Diego,Overcast,Dry,Daylight,6,1
A-100728,1,NC,Charlotte,Clear,Dry,Daylight,16,1
A-100729,1,CA,Los Angeles,Clear,Dry,Daylight,12,0
A-100730,2,TX,Houston,Clear,Wet,Daylight,13,0
A-100731,2,TX,Houston,Clear,Dry,Dawn,5,1
A-100732,2,AZ,Phoenix,Rain,Wet,Daylight,16,0
A-100733,2,IL,Chicago,Rain,Wet,Daylight,16,0
A-100734,1,NC,Charlotte,Clear,Dry,Daylight,17,1
A-100735,4,CA,San Diego,Snow,Icy,Daylight,13,1
A-100736,1,FL,Miami,Clear,Dry,Daylight,6,1
A-100737,2,NC,Charlotte,Clear,Dry,Daylight,13,0
A-100738,3,CA,San Diego,Rain,Construction Zone,Dark - No Lights,0,0
A-100739,3,CA,Los Angeles,Fog,Wet,Daylight,9,0
A-100740,1,CA,Los Angeles,Clear,Dry,Daylight,17,1
A-100741,3,FL,Miami,Heavy Rain,Wet,Dark - Street Lights,21,1
A-100742,2,FL,Miami,Rain,Wet,Daylight,14,0
A-100743,2,IL,Chicago,Clear,Dry,Daylight,15,0
A-100744,3,AZ,Phoenix,Rain,Wet,Daylight,13,0
A-100745,3,IL,Chicago,Snow,Icy,Daylight,14,0
A-100746,3,IL,Chicago,Clear,Dry,Daylight,15,0
A-100747,1,NY,New York,Overcast,Dry,Daylight,9,0
A-100748,1,NY,New York,Overcast,Dry,Daylight,14,0
A-100749,4,FL,Miami,Heavy Rain,Construction Zone,Daylight,7,0
A-100750,3,TX,Houston,Clear,Dry,Daylight,6,0
A-100751,3,FL,Miami,Clear,Dry,Daylight,7,0
A-100752,2,CA,San Diego,Clear,Wet,Daylight,16,0
A-100753,1,CA,San Diego,Heavy Rain,Wet,Daylight,14,0
A-100754,2,CA,Los Angeles,Snow,Icy,Dark - No Lights,20,0
A-100755,3,FL,Miami,Fog,Dry,Daylight,16,0
A-100756,2,CA,Los Angeles,Rain,Wet,Daylight,8,1
A-100757,3,FL,Miami,Overcast,Construction Zone,Daylight,7,0
A-100758,1,CA,San Diego,Clear,Dry,Daylight,7,0
A-100759,2,CA,Los Angeles,Clear,Dry,Daylight,14,1
A-100760,2,TX,Houston,Clear,Dry,Daylight,12,1
A-100761,2,FL,Miami,Clear,Dry,Daylight,8,1
A-100762,2,CA,San Diego,Clear,Dry,Daylight,15,0
A-100763,3,CA,Los Angeles,Clear,Wet,Daylight,17,1
A-100764,1,TX,Houston,Clear,Dry,Daylight,11,0
A-100765,4,CA,San Diego,Fog,Construction Zone,Daylight,6,1
A-100766,1,NY,New York,Clear,Dry,Dark - Street Lights,0,0
A-100767,2,FL,Miami,Clear,Dry,Daylight,7,0
A-100768,3,TX,Houston,Clear,Construction Zone,Daylight,16,0
A-100769,1,NY,New York,Snow,Snow Cover,Daylight,7,0
A-100770,4,CA,Los Angeles,Rain,Construction Zone,Dawn,5,0
A-100771,3,CA,Los Angeles,Clear,Construction Zone,Daylight,8,0
A-100772,2,CA,San Diego,Rain,Wet,Dusk,19,0
A-100773,2,NC,Charlotte,Clear,Construction Zone,Daylight,14,0
A-100774,2,NC,Charlotte,Clear,Dry,Daylight,10,1
A-100775,1,FL,Miami,Clear,Dry,Dark - Street Lights,23,0
A-100776,1,CA,Los Angeles,Clear,Dry,Dark - Street Lights,21,0
A-100777,2,AZ,Phoenix,Snow,Snow Cover,Daylight,13,0
A-100778,1,TX,Houston,Rain,Wet,Daylight,11,0
A-100779,2,TX,Houston,Clear,Dry,Daylight,14,0
A-100780,3,TX,Houston,Heavy Rain,Wet,Daylight,11,0
A-100781,2,TX,Houston,Fog,Dry,Daylight,9,0
A-100782,2,TX,Houston,Fog,Dry,Daylight,16,0
A-100783,1,NC,Charlotte,Rain,Wet,Daylight,16,0
A-100784,2,FL,Miami,Heavy Rain,Wet,Daylight,6,1
A-100785,2,FL,Miami,Clear,Dry,Daylight,14,1
A-100786,4,TX,Houston,Heavy Rain,Wet,Daylight,13,0
A-100787,4,NC,Charlotte,Clear,Dry,Daylight,12,1
A-100788,1,NY,New York,Rain,Wet,Dark - Street Lights,21,1
A-100789,1,NC,Charlotte,Clear,Dry,Daylight,18,0
A-100790,2,AZ,Phoenix,Snow,Snow Cover,Daylight,17,0
A-100791,4,CA,Los Angeles,Snow,Icy,Daylight,13,0
A-100792,1,AZ,Phoenix,Clear,Dry,Dark - No Lights,23,1
A-100793,3,NC,Charlotte,Snow,Icy,Daylight,10,0
A-100794,1,CA,Los Angeles,Clear,Dry,Daylight,16,0
A-100795,2,CA,San Diego,Fog,Dry,Daylight,7,0
A-100796,1,IL,Chicago,Rain,Wet,Daylight,12,1
A-100797,2,NC,Charlotte,Rain,Wet,Dusk,5,0
A-100798,2,CA,San Diego,Rain,Wet,Dawn,5,0
A-100799,3,TX,Houston,Heavy Rain,Construction Zone,Daylight,10,0
A-100800,2,TX,Houston,Heavy Rain,Wet,Daylight,7,1
A-100801,1,NC,Charlotte,Fog,Construction Zone,Daylight,8,1
A-100802,2,NY,New York,Clear,Wet,Dark - Street Lights,0,0
A-100803,2,FL,Miami,Clear,Dry,Daylight,14,0
A-100804,1,FL,Miami,Rain,Wet,Daylight,18,1
A-100805,2,TX,Houston,Clear,Wet,Daylight,6,0
A-100806,2,NY,New York,Clear,Construction Zone,Daylight,9,1
A-100807,1,NY,New York,Rain,Wet,Daylight,15,0
A-100808,1,NC,Charlotte,Clear,Dry,Daylight,16,0
A-100809,3,AZ,Phoenix,Snow,Icy,Daylight,17,0
A-100810,2,CA,San Diego,Rain,Wet,Daylight,16,1
A-100811,3,CA,Los Angeles,Rain,Construction Zone,Daylight,6,0
A-100812,2,NY,New York,Clear,Dry,Daylight,11,0
A-100813,3,TX,Houston,Heavy Rain,Wet,Daylight,15,0
A-100814,2,FL,Miami,Clear,Dry,Daylight,16,0
A-100815,1,CA,San Diego,Rain,Wet,Daylight,16,1
A-100816,1,IL,Chicago,Clear,Dry,Daylight,14,0
A-100817,2,CA,San Diego,Clear,Dry,Daylight,8,0
A-100818,1,IL,Chicago,Overcast,Wet,Daylight,10,0
A-100819,1,IL,Chicago,Clear,Dry,Dark - Street Lights,20,0
A-100820,3,NC,Charlotte,Clear,Dry,Dawn,19,0
A-100821,3,CA,Los Angeles,Heavy Rain,Wet,Daylight,18,0
A-100822,1,FL,Miami,Fog,Dry,Daylight,14,0
A-100823,3,TX,Houston,Overcast,Dry,Daylight,8,1
A-100824,4,AZ,Phoenix,Snow,Icy,Daylight,7,1
A-100825,4,CA,Los Angeles,Snow,Icy,Daylight,8,1
A-100826,2,NY,New York,Clear,Dry,Daylight,7,0
A-100827,1,CA,San Diego,Clear,Dry,Daylight,11,1
A-100828,4,NC,Charlotte,Heavy Rain,Wet,Daylight,16,0
A-100829,1,TX,Houston,Clear,Wet,Daylight,7,1
A-100830,1,NY,New York,Rain,Wet,Dark - Street Lights,20,0
