feature_red,feature_green,feature_blue,texture_contrast,aspect_ratio,ear_shape,label
139.59,75.55,136.68,92.85,1.55,0.62,1
68.58,91.89,76.62,80.82,1.19,0.46,1
144.26,122.38,102.09,55.18,1.23,0.54,1
129.48,104.02,84.55,39.61,1.19,0.64,1
77.99,109.74,120.19,51.18,1.44,0.49,1
110.31,176.71,53.29,85.88,1.37,0.47,1
121.03,86.67,100.72,42.13,1.52,0.39,1
125.97,131.45,104.19,72.22,1.22,0.24,1
139.67,140.91,89.05,70.69,1.22,0.53,1
126.64,153.53,73.04,64.33,1.45,0.45,1
104.61,83.18,117.04,80.82,1.22,0.55,1
139.25,108.36,96.99,78.31,1.23,0.35,1
56.19,126.91,55.96,92.55,1.33,0.32,1
94.31,97.8,130.46,32.68,1.66,0.4,1
79.82,78.12,136.91,55.82,1.17,0.52,1
118.46,81.55,100.42,54.61,1.62,0.51,1
123.3,114.04,139.03,70.0,1.16,0.42,1
162.15,79.63,85.96,76.25,1.39,0.2,1
138.05,163.0,99.9,56.44,1.09,0.39,1
137.6,116.88,94.94,61.16,1.18,0.48,1
132.84,66.36,134.75,78.61,1.68,0.15,1
75.85,101.28,107.57,96.95,1.54,0.31,1
84.34,135.75,70.88,94.43,1.34,0.59,1
126.97,101.58,82.02,64.89,1.49,0.36,1
95.15,100.86,96.96,38.07,1.49,0.2,1
81.17,62.82,50.15,49.67,1.26,0.64,1
96.85,109.44,105.01,71.97,1.38,0.17,1
146.27,150.18,52.93,54.64,1.34,0.21,1
122.65,86.79,149.13,87.86,1.44,0.5,1
137.65,90.9,74.59,71.17,1.57,0.37,1
70.58,84.93,93.15,68.87,1.79,0.14,1
122.64,142.23,151.79,63.93,1.5,0.44,1
114.89,102.53,105.9,32.02,1.54,0.37,1
104.44,156.17,78.13,63.95,1.8,0.23,1
96.25,101.32,116.02,73.12,1.14,0.27,1
94.82,103.07,105.65,76.27,1.04,0.51,1
116.31,139.61,106.1,86.52,1.49,0.55,1
123.06,102.55,151.81,83.34,1.51,0.16,1
77.79,112.32,98.64,60.79,1.43,0.59,1
127.39,76.47,92.21,57.93,1.32,0.29,1
98.06,73.62,91.81,61.59,0.81,0.66,1
137.22,95.59,95.47,52.43,1.74,0.63,1
113.92,130.59,99.38,49.95,1.32,0.37,1
98.64,99.53,92.72,68.79,1.41,0.19,1
92.07,72.89,119.45,38.42,1.63,0.56,1
102.45,39.92,85.97,69.04,1.2,0.27,1
148.25,121.62,71.89,46.04,1.33,0.32,1
122.4,91.62,107.79,99.03,1.56,0.34,1
105.42,96.08,124.52,60.59,1.41,0.36,1
97.46,70.69,103.07,69.08,1.5,0.27,1
140.52,83.08,137.8,43.79,1.49,0.42,1
90.11,115.61,126.99,36.75,1.5,-0.02,1
85.86,145.73,80.46,52.39,1.36,0.66,1
64.21,78.72,132.44,97.87,1.38,0.16,1
162.4,144.86,111.97,57.81,1.39,0.33,1
118.27,141.28,116.99,53.84,1.68,0.4,1
127.18,141.66,67.21,69.46,1.29,0.11,1
118.67,167.79,49.0,69.52,1.53,0.37,1
107.17,72.52,100.82,58.65,0.96,0.53,1
133.96,106.29,100.73,86.11,1.44,0.49,1
102.56,137.8,103.02,72.91,1.15,0.39,1
89.2,89.04,74.62,54.01,1.82,0.55,1
158.01,74.43,96.78,50.6,1.26,0.21,1
140.99,95.09,121.71,79.06,1.86,0.13,1
141.48,133.66,70.67,85.11,1.47,0.32,1
89.4,87.02,146.25,70.01,1.56,0.23,1
90.5,132.05,61.26,63.77,1.41,0.37,1
105.52,114.9,112.32,81.02,1.2,0.31,1
139.87,127.37,60.68,75.27,1.0,0.36,1
157.44,81.3,74.14,81.46,1.09,0.26,1
124.91,89.14,89.1,81.16,1.48,0.39,1
101.52,114.25,91.91,76.87,1.3,0.32,1
85.25,104.12,74.72,53.29,1.45,0.38,1
129.57,94.22,105.2,78.26,1.49,0.23,1
113.73,114.1,95.18,38.7,1.43,0.68,1
101.0,86.8,104.33,74.69,1.64,0.16,1
128.28,119.76,91.45,75.08,1.61,0.48,1
81.42,125.5,93.38,71.09,1.41,0.33,1
139.79,102.91,67.01,64.1,1.44,0.53,1
125.08,83.74,157.13,73.97,1.66,0.33,1
123.33,125.99,125.45,85.86,1.57,0.3,1
95.71,113.32,118.33,66.66,1.61,0.57,1
87.09,84.08,91.49,74.61,1.3,0.55,1
120.6,105.99,59.1,50.26,1.46,0.03,1
135.32,101.05,176.08,104.62,1.36,0.33,1
134.89,147.58,54.05,43.2,1.28,0.44,1
122.42,131.74,65.01,35.26,1.57,0.23,1
59.54,108.63,114.83,68.17,1.31,0.33,1
100.74,71.3,77.13,77.82,1.46,0.38,1
85.12,100.46,40.57,72.68,1.69,0.13,1
95.35,113.23,126.32,63.28,1.26,0.05,1
112.59,156.05,101.93,69.67,1.46,0.35,1
89.67,125.58,100.64,70.26,1.2,0.55,1
126.62,91.18,120.05,62.54,1.24,0.24,1
65.72,116.79,49.22,51.57,0.98,0.34,1
106.24,96.83,68.94,52.42,1.49,0.27,1
117.91,82.87,99.53,89.55,1.52,0.29,1
116.43,98.98,95.2,65.12,1.37,0.38,1
85.17,79.6,60.29,46.0,1.16,0.37,1
87.68,117.84,95.87,40.47,1.53,0.47,1
85.15,115.5,73.59,71.47,1.15,0.08,1
100.43,101.91,85.06,52.24,1.32,0.39,1
108.88,109.56,78.25,87.58,1.16,0.42,1
139.55,117.02,89.94,62.08,1.61,0.14,1
85.75,95.06,125.94,75.7,1.21,0.3,1
94.64,87.26,119.47,49.42,1.72,0.47,1
137.27,93.43,91.25,48.5,1.3,0.42,1
142.4,77.32,85.86,67.73,1.12,0.44,1
91.9,100.12,83.7,58.16,1.4,0.32,1
100.7,86.79,102.99,94.8,1.43,0.5,1
75.24,108.94,67.57,47.85,1.25,0.53,1
133.75,111.08,56.68,67.06,1.46,0.38,1
63.91,82.74,93.4,78.04,0.96,0.33,1
113.58,126.24,112.32,78.74,1.24,0.06,1
100.17,130.04,129.84,80.66,1.49,0.41,1
96.1,101.75,136.73,55.86,1.72,0.3,1
143.14,69.83,109.65,58.95,1.12,0.38,1
135.24,83.88,57.52,68.62,1.38,0.43,1
133.74,103.51,141.39,73.36,1.33,0.11,1
103.43,96.59,119.01,76.94,1.16,0.38,1
126.79,143.2,117.19,81.41,1.41,0.41,1
141.24,71.68,86.26,58.41,1.48,0.53,1
95.08,45.24,84.69,83.7,1.51,0.41,1
103.0,73.02,107.88,57.49,1.84,0.44,1
95.48,89.72,92.68,66.41,1.62,0.38,1
91.71,152.26,96.23,81.53,1.28,0.4,1
117.78,57.76,145.38,89.36,1.32,0.18,1
118.69,107.17,103.89,72.87,1.5,0.57,1
124.2,78.76,129.06,94.61,2.03,0.18,1
116.07,52.95,108.83,61.78,1.78,0.23,1
67.77,93.22,45.61,81.27,0.99,0.35,1
58.05,96.99,136.08,75.41,1.23,0.35,1
110.45,116.82,60.83,78.89,0.86,0.26,1
97.79,120.83,95.57,48.92,1.2,0.38,1
108.02,90.52,82.98,80.44,1.3,0.34,1
164.25,69.41,48.7,81.75,1.26,0.3,1
90.47,98.5,134.96,82.03,1.57,0.14,1
81.22,34.02,74.77,84.35,1.5,0.32,1
109.44,87.78,100.12,81.49,1.08,0.39,1
133.31,94.62,112.52,112.22,1.38,0.41,1
91.55,109.53,106.51,72.92,1.2,0.38,1
146.55,116.22,119.05,66.44,1.55,0.39,1
86.23,112.96,70.21,60.51,1.44,0.39,1
80.27,131.35,109.3,59.43,1.09,0.33,1
98.85,107.83,85.92,39.89,1.32,0.3,1
125.84,87.55,136.97,41.33,1.66,0.32,1
131.49,107.0,123.49,64.19,1.18,0.56,1
107.16,110.54,125.87,54.52,1.52,0.26,1
106.7,106.81,57.49,58.32,1.67,0.48,1
108.43,111.08,87.64,90.35,1.36,0.38,1
138.65,85.57,133.97,47.04,1.73,0.29,1
103.93,57.75,83.63,54.4,1.28,0.33,1
133.94,110.19,102.69,53.57,1.22,0.62,1
91.62,146.41,88.92,70.03,1.61,0.54,1
107.23,95.29,93.6,75.07,1.58,0.35,1
125.47,145.96,104.53,74.67,1.1,-0.04,1
119.71,102.63,82.13,73.65,1.39,0.52,1
112.15,86.33,119.75,66.74,1.51,0.28,1
93.75,107.1,95.32,77.2,1.35,0.07,1
99.18,124.85,87.57,66.3,1.6,0.24,1
71.43,100.98,82.9,55.51,1.36,0.42,1
109.77,112.67,140.34,64.86,1.46,0.27,1
88.84,90.38,83.03,75.39,1.87,0.24,1
99.58,103.42,104.89,73.95,1.66,-0.01,1
50.33,92.6,122.43,46.52,0.8,0.44,1
116.09,77.74,70.36,55.45,1.42,0.26,1
122.35,33.63,73.58,53.11,1.35,0.27,1
129.95,58.52,96.14,78.38,1.77,0.28,1
118.11,59.9,35.2,82.67,1.4,0.53,1
75.66,118.0,141.72,76.3,1.46,0.35,1
70.73,138.89,79.73,77.57,1.09,0.17,1
145.88,96.32,131.33,68.83,1.03,0.48,1
95.25,122.47,95.63,46.85,1.43,0.68,1
122.32,103.56,121.88,73.16,1.44,0.19,1
115.85,130.89,74.1,91.37,1.38,0.22,1
134.94,97.83,113.99,65.62,1.39,0.42,1
117.27,55.11,66.97,83.94,1.37,0.27,1
76.04,78.01,44.46,68.48,1.28,0.21,1
108.3,114.1,147.33,47.32,1.63,0.5,1
90.52,110.08,83.56,72.79,1.7,0.44,1
122.72,94.24,57.9,66.87,1.64,0.12,1
83.62,108.16,70.38,58.11,1.32,0.15,1
85.65,122.59,62.32,46.03,1.27,0.46,1
105.08,93.39,96.11,43.81,1.5,0.41,1
99.77,130.15,66.81,86.92,1.43,0.3,1
109.5,102.32,125.51,53.85,1.25,0.51,1
95.11,127.51,137.49,63.97,1.54,0.18,1
128.87,109.99,106.83,60.32,1.07,0.43,1
58.41,97.07,118.53,72.88,1.79,0.5,1
93.65,105.68,93.82,46.27,1.21,0.27,1
59.09,106.19,88.77,44.91,1.48,0.46,1
115.68,96.9,109.79,80.2,1.46,0.23,1
116.92,134.89,80.08,101.47,1.29,0.35,1
93.19,110.58,51.44,61.81,1.18,0.37,1
134.86,121.15,35.71,100.63,1.46,0.23,1
113.93,109.4,78.33,72.97,1.28,0.29,1
92.84,69.18,98.65,78.78,1.5,0.47,1
118.11,91.68,115.99,49.64,1.22,0.21,1
137.0,128.57,107.18,86.08,1.22,0.4,1
106.87,126.17,92.12,64.23,1.51,0.48,1
93.29,103.47,68.54,32.53,1.44,0.44,1
116.55,56.26,86.23,36.72,1.67,0.19,1
141.39,128.65,72.49,53.01,1.47,0.22,1
112.56,92.93,50.47,36.54,1.45,0.27,1
96.17,122.4,124.34,65.91,1.33,0.43,1
76.08,110.58,108.8,80.2,1.01,0.24,1
88.04,107.5,107.02,92.45,1.3,0.28,1
138.74,112.41,126.69,74.33,1.17,0.15,1
71.21,121.55,124.71,97.74,1.57,0.52,1
95.5,76.09,116.25,76.27,1.42,0.41,1
118.08,137.1,127.37,78.16,1.57,0.43,1
98.47,123.91,60.14,85.81,1.16,0.39,1
88.87,118.83,94.15,46.08,1.48,0.26,1
132.03,105.03,104.89,55.64,1.28,0.28,1
131.42,146.93,74.87,86.15,0.97,0.17,1
86.03,71.19,55.41,76.19,1.36,0.41,1
127.26,111.64,111.44,68.96,1.16,0.51,1
95.27,81.61,90.55,56.31,1.32,0.4,1
118.71,82.55,82.81,86.11,1.5,0.66,1
139.5,133.61,60.3,81.46,1.39,0.27,1
114.2,128.63,107.52,56.82,1.55,0.25,1
115.42,97.42,89.53,81.49,1.19,0.64,1
64.47,90.06,104.26,78.76,1.38,0.34,1
120.26,99.22,129.83,82.59,1.57,0.21,1
108.02,97.49,69.86,75.4,1.29,0.45,1
83.25,147.98,72.59,73.29,1.56,0.26,1
131.31,74.27,131.3,70.21,1.28,0.31,1
130.22,90.39,76.27,66.68,1.16,0.62,1
95.84,125.79,100.24,55.23,1.4,0.47,1
105.29,134.83,120.54,83.78,1.31,0.19,1
94.66,109.91,108.64,37.43,1.4,0.37,1
103.06,137.28,105.54,89.65,1.36,0.49,1
150.88,137.79,67.7,66.19,1.33,0.42,1
127.16,84.03,96.7,39.7,1.69,0.27,1
111.4,97.26,123.65,27.44,1.4,0.33,1
98.66,148.16,72.82,81.58,1.47,0.54,1
93.32,86.68,122.4,76.38,1.09,0.27,1
119.66,125.94,78.02,26.29,1.5,0.17,1
59.57,34.19,115.35,71.93,1.35,0.56,1
125.93,145.41,60.18,69.48,1.08,0.32,1
103.78,120.67,96.14,79.35,1.54,0.67,1
102.12,81.47,101.15,57.97,1.7,0.31,1
95.86,93.22,112.96,67.63,1.27,0.6,1
88.6,105.89,111.31,45.53,1.5,0.19,1
130.57,80.93,112.32,86.59,1.57,0.39,1
104.22,90.59,131.78,59.51,1.19,0.45,1
90.1,81.25,58.91,62.76,1.38,0.39,1
133.78,118.17,90.23,67.03,1.5,0.54,1
113.16,93.27,70.18,48.32,1.53,0.44,1
124.43,101.78,130.17,62.74,1.59,0.34,1
94.79,119.81,105.24,75.35,1.42,0.34,1
169.71,134.61,113.07,71.68,1.6,0.43,1
110.66,97.41,92.98,22.44,1.44,0.28,1
149.82,105.48,65.28,69.25,1.19,0.42,1
117.27,128.95,75.23,70.51,1.13,0.46,1
122.97,117.4,95.04,76.22,1.72,0.31,1
113.47,77.85,73.29,71.47,1.62,0.31,1
104.1,94.83,81.63,74.42,1.1,0.54,1
93.36,123.05,63.25,80.03,1.53,0.41,1
85.14,111.24,65.42,66.21,1.61,0.47,1
110.38,80.63,111.14,70.29,0.94,0.47,1
109.39,135.06,67.62,22.35,1.46,0.39,1
67.73,80.54,163.88,65.42,1.55,0.25,1
57.74,100.74,88.36,64.0,1.38,0.39,1
106.25,73.4,107.15,40.76,0.99,0.46,1
122.68,103.57,60.11,59.38,1.35,0.11,1
91.52,121.31,130.68,63.71,1.55,0.06,1
126.49,84.9,102.68,66.28,1.66,0.22,1
125.69,98.01,91.04,67.24,1.23,0.35,1
108.43,111.03,97.11,81.97,1.58,0.19,1
131.72,75.34,109.7,79.3,1.02,0.36,1
98.29,86.03,128.77,60.19,1.24,0.36,1
127.14,101.46,124.16,77.96,0.96,0.27,1
95.95,116.98,29.38,108.24,1.51,0.37,1
139.54,163.59,116.77,84.23,1.43,0.33,1
98.11,84.35,77.82,49.74,1.38,0.1,1
114.77,104.09,98.67,62.17,2.02,0.55,1
78.89,110.82,79.8,54.78,1.13,0.41,1
92.97,129.2,119.84,90.61,1.23,0.42,1
125.81,93.15,75.71,94.14,1.45,0.45,1
89.45,74.52,80.76,68.14,1.19,0.35,1
67.79,77.0,111.77,79.06,1.32,0.2,1
84.31,95.67,111.11,83.92,1.3,0.18,1
116.7,84.41,82.04,89.88,1.57,0.37,1
78.2,110.28,121.57,64.37,1.67,0.54,1
151.59,112.63,109.68,91.21,1.49,0.27,1
98.79,110.96,62.74,67.85,1.62,0.02,1
148.36,133.06,83.51,78.15,1.4,0.53,1
134.57,70.0,109.68,66.92,1.42,0.24,1
153.7,131.0,76.51,49.98,1.32,0.42,1
116.01,136.33,114.75,84.54,1.47,0.14,1
105.11,131.5,93.71,77.55,1.34,0.2,1
106.92,112.73,78.61,66.46,1.21,0.52,1
102.64,141.32,133.22,68.78,1.2,0.04,1
73.2,70.65,129.46,71.74,1.48,0.02,1
80.05,127.18,102.17,67.79,1.51,0.6,1
104.47,106.73,99.81,105.88,0.98,0.45,1
107.13,119.17,78.57,69.27,1.54,0.82,1
130.2,83.8,84.41,63.2,1.04,0.3,1
128.32,73.14,121.21,77.32,1.25,0.33,1
149.96,123.34,95.22,66.43,1.42,0.27,1
57.38,156.05,98.88,75.97,1.39,0.24,1
105.35,65.02,151.93,51.48,1.19,0.28,1
142.2,105.36,64.1,88.82,1.55,0.43,1
127.89,164.86,149.63,59.7,1.72,0.41,1
122.48,62.69,90.74,57.81,1.57,0.51,1
58.14,104.45,123.05,67.2,1.55,0.4,1
118.54,98.22,64.59,53.18,1.54,0.35,1
106.54,94.4,87.37,85.7,1.33,0.15,1
128.59,99.88,95.78,94.11,1.4,0.39,1
80.53,99.51,110.24,46.67,1.44,0.37,1
111.03,130.93,103.36,92.17,1.2,0.37,1
112.11,78.27,118.91,104.87,1.4,0.43,1
112.11,87.16,49.48,59.41,1.12,0.61,1
107.12,96.35,117.23,53.17,1.25,0.36,1
135.72,117.54,101.21,71.17,1.48,0.38,1
84.25,106.15,68.16,71.22,1.3,0.73,1
109.0,69.89,91.65,77.79,1.73,0.26,1
70.44,125.42,60.49,63.46,1.35,0.34,1
127.23,87.91,88.16,69.79,1.43,0.36,1
120.9,126.1,104.82,76.8,1.08,0.36,1
121.99,123.22,77.69,60.11,1.29,0.43,1
135.85,94.81,117.7,71.85,1.38,0.32,1
128.67,113.14,151.9,57.22,1.5,0.27,1
88.27,104.73,98.43,113.77,1.36,0.18,1
116.83,53.13,92.7,70.24,1.56,0.5,1
97.41,101.23,75.85,53.08,1.46,0.16,1
99.63,80.12,108.74,97.02,1.14,0.07,1
106.88,105.39,100.47,63.31,1.36,0.41,1
136.01,56.12,85.78,73.21,1.22,0.61,1
94.11,103.97,108.9,61.13,1.03,0.29,1
135.74,96.58,73.84,83.89,1.33,0.27,1
113.74,124.27,154.54,82.41,1.63,0.27,1
84.35,106.56,97.68,53.82,1.36,0.41,1
119.01,117.61,102.27,62.39,1.3,0.17,1
154.62,105.34,89.38,56.07,1.99,0.19,1
99.28,115.4,110.01,84.37,1.76,0.43,1
83.6,98.58,102.7,101.02,1.12,0.53,1
114.5,125.95,92.45,57.36,1.55,0.45,1
134.3,104.67,80.0,46.62,1.56,0.41,1
85.86,91.54,83.33,47.76,1.24,0.18,1
99.69,86.53,54.32,100.34,1.65,0.23,1
116.81,115.44,124.78,57.72,1.62,0.27,1
76.6,123.1,127.27,108.82,1.16,0.45,1
99.75,124.58,58.24,51.06,1.24,0.36,1
93.97,121.48,120.67,78.99,1.72,0.41,1
79.58,139.08,79.87,83.66,1.71,0.42,1
72.6,82.04,128.07,67.46,1.42,0.46,1
127.41,111.97,89.78,65.31,1.57,0.43,1
103.57,132.05,91.77,57.23,1.25,0.2,1
103.19,135.84,74.87,72.83,1.27,0.31,1
72.25,99.49,90.16,78.1,1.44,0.17,1
137.1,110.26,99.96,69.86,1.3,0.38,1
121.89,61.33,81.53,66.18,1.45,0.53,1
90.71,92.55,82.19,57.98,1.33,0.47,1
83.65,115.7,52.45,61.58,1.33,0.6,1
103.13,49.97,45.03,70.51,1.52,0.41,1
114.19,134.06,81.51,83.42,1.07,0.21,1
64.82,98.13,93.84,71.71,1.41,0.21,1
105.24,67.56,129.08,65.45,1.3,0.59,1
78.94,76.86,67.59,68.98,1.49,0.46,1
174.3,48.76,110.22,61.64,1.28,0.26,1
87.28,147.11,116.06,70.35,1.67,0.12,1
76.73,50.55,77.51,72.43,1.42,0.37,1
74.72,125.08,100.99,81.0,1.02,0.4,1
80.31,95.07,108.36,71.37,1.23,0.35,1
71.71,133.76,89.87,86.78,1.29,0.27,1
90.9,126.9,77.26,79.67,1.32,0.05,1
95.74,75.52,95.85,52.14,1.59,0.34,1
105.56,121.4,119.1,69.7,1.25,0.08,1
92.85,89.57,97.68,64.82,1.54,0.26,1
108.57,134.6,103.55,69.1,1.28,0.26,1
88.73,91.47,113.89,66.67,1.13,0.62,1
118.0,69.83,83.95,71.66,1.74,0.18,1
134.4,139.99,79.28,65.84,1.19,0.32,1
109.09,121.49,122.25,58.78,1.01,0.35,1
117.34,111.24,86.83,71.87,1.7,0.41,1
100.67,92.5,90.75,94.55,1.36,0.35,1
97.94,132.47,144.0,76.76,1.42,0.36,1
50.39,123.63,98.35,76.43,1.26,0.29,1
99.72,130.54,85.53,101.24,1.49,0.16,1
106.79,88.71,40.14,93.99,1.54,0.43,1
114.14,70.45,82.91,82.63,1.19,-0.03,1
104.32,101.46,98.39,80.93,1.53,0.39,1
139.89,67.03,107.61,79.4,1.15,0.12,1
91.35,88.46,113.84,60.78,1.23,0.26,1
137.97,105.33,90.52,68.35,1.66,0.24,1
142.89,110.26,90.99,107.51,1.19,0.3,1
79.19,128.81,137.23,95.05,1.64,0.32,1
100.87,63.22,145.9,77.03,1.3,0.55,1
85.68,115.17,90.68,79.58,1.39,0.13,1
111.89,131.22,94.27,81.63,1.19,0.35,1
94.39,123.67,95.79,80.35,1.62,0.45,1
116.83,80.04,94.93,62.0,1.33,0.29,1
85.5,56.07,78.3,72.9,1.13,0.35,1
157.51,130.58,136.09,75.87,1.63,0.24,1
93.89,36.52,124.65,93.1,1.29,0.31,1
91.15,114.57,123.12,43.86,1.48,0.31,1
112.83,116.47,90.29,68.45,1.36,0.5,1
120.47,110.51,63.23,64.32,1.58,0.36,1
126.49,149.16,120.97,71.4,1.3,-0.03,1
105.79,96.85,104.76,67.69,1.34,0.08,1
86.5,116.92,137.9,68.54,1.47,0.49,1
89.73,114.17,76.49,82.97,1.43,0.39,1
90.44,122.68,147.12,54.88,1.33,0.38,1
129.66,91.01,24.17,90.39,1.55,0.09,1
94.81,144.2,131.19,84.08,1.36,0.36,1
106.73,133.21,73.1,57.91,1.6,0.34,1
144.46,88.21,93.63,56.16,1.4,0.13,1
97.81,69.09,112.35,80.75,1.05,0.55,1
172.44,106.15,78.97,112.36,1.14,0.35,1
114.49,138.63,103.99,62.52,1.21,0.3,1
84.83,106.2,80.9,47.59,1.65,0.28,1
78.3,100.79,96.71,43.8,1.47,0.19,1
152.78,118.1,85.0,58.82,1.38,0.44,1
109.36,99.57,96.46,60.94,1.33,0.04,1
134.34,112.47,75.66,98.48,1.42,0.19,1
131.42,114.95,104.86,63.61,1.49,0.31,1
123.9,57.38,84.15,95.83,1.25,0.26,1
98.8,74.63,39.79,66.54,1.43,0.34,1
106.38,106.08,120.57,67.14,1.29,0.31,1
124.48,140.3,79.3,71.48,1.47,0.2,1
110.51,68.36,50.77,75.5,1.32,0.38,1
109.55,80.59,93.87,51.5,1.68,0.15,1
105.11,78.94,109.26,65.03,1.3,0.48,1
110.74,117.92,70.47,48.93,1.42,0.3,1
125.66,103.0,100.13,45.65,1.78,0.33,1
127.44,84.1,102.7,50.46,1.49,0.3,1
110.73,122.45,64.19,59.73,1.49,0.66,1
106.55,119.78,92.33,99.13,1.05,0.36,1
69.36,42.34,102.44,72.09,1.34,0.33,1
187.46,98.55,107.75,60.26,1.46,0.31,1
99.74,150.47,124.43,72.05,0.94,0.3,1
177.58,99.23,122.58,91.63,1.44,0.22,1
49.12,122.1,74.63,72.64,1.15,0.31,1
110.84,111.71,67.13,87.95,1.28,0.1,1
107.27,105.86,99.01,90.43,1.35,0.33,1
82.42,125.51,99.61,63.7,1.02,0.57,1
79.31,90.22,103.96,52.05,1.1,0.03,1
128.02,91.37,168.18,55.08,1.22,0.27,1
116.08,93.24,110.31,55.32,1.12,0.08,1
54.41,92.05,87.48,60.53,1.65,0.53,1
101.63,60.15,80.83,61.0,1.27,0.25,1
93.66,95.34,79.11,73.12,1.47,0.21,1
141.78,80.5,54.55,75.71,1.24,0.4,1
49.91,139.81,111.81,47.49,1.1,0.6,1
91.57,84.15,38.35,64.74,1.35,0.46,1
75.02,66.99,106.27,85.1,1.09,0.51,1
110.94,132.3,93.24,32.17,1.37,0.51,1
87.66,95.3,90.6,26.51,1.73,0.21,1
122.64,102.83,126.44,76.09,1.35,0.22,1
129.95,58.16,111.15,53.51,1.65,0.37,1
126.1,107.05,51.19,57.09,1.53,0.37,1
139.52,115.08,70.83,58.06,1.42,0.0,1
151.84,116.04,125.68,46.29,1.65,0.68,1
76.98,124.29,95.03,46.83,1.5,0.48,1
94.97,134.15,53.33,47.58,1.43,0.35,1
92.09,125.24,108.27,82.87,1.38,0.44,1
98.86,156.35,74.69,101.58,1.41,0.14,1
144.2,108.15,116.28,88.36,1.47,0.26,1
134.39,105.02,112.15,37.69,1.49,0.25,1
151.33,120.58,101.0,77.29,1.2,0.59,1
159.78,114.82,134.76,61.46,1.24,0.36,1
120.87,95.15,108.44,74.6,1.2,0.43,1
131.59,109.29,123.82,51.74,1.49,0.17,1
