red_ratio,green_ratio,blue_ratio,texture_smoothness,density_est,food_label,calories_100g
0.583,0.366,0.277,0.658,0.992,Burger,293.7
0.588,0.309,0.165,0.491,0.827,Burger,291.6
0.59,0.369,0.294,0.595,0.835,Burger,299.7
0.539,0.389,0.268,0.467,0.918,Burger,291.8
0.461,0.353,0.169,0.619,0.99,Burger,299.5
0.478,0.399,0.295,0.41,0.92,Burger,299.2
0.594,0.283,0.235,0.681,0.828,Burger,297.5
0.448,0.397,0.175,0.666,0.818,Burger,297.1
0.528,0.383,0.217,0.48,0.85,Burger,290.7
0.451,0.266,0.15,0.516,0.947,Burger,299.7
0.577,0.324,0.207,0.564,0.82,Burger,294.8
0.573,0.348,0.253,0.449,0.815,Burger,298.5
0.459,0.298,0.293,0.422,0.834,Burger,293.8
0.546,0.332,0.285,0.428,0.919,Burger,296.1
0.497,0.255,0.291,0.449,0.978,Burger,291.6
0.42,0.281,0.178,0.609,0.944,Burger,297.3
0.453,0.292,0.186,0.415,0.914,Burger,298.4
0.431,0.304,0.214,0.488,0.932,Burger,296.0
0.44,0.254,0.176,0.488,0.816,Burger,298.4
0.462,0.31,0.223,0.598,0.818,Burger,295.4
0.437,0.383,0.205,0.534,0.853,Burger,294.7
0.445,0.29,0.159,0.626,0.933,Burger,290.9
0.469,0.331,0.296,0.577,0.911,Burger,298.4
0.564,0.313,0.23,0.66,0.895,Burger,298.8
0.495,0.262,0.285,0.614,0.9,Burger,299.0
0.56,0.352,0.243,0.436,0.951,Burger,291.7
0.597,0.396,0.271,0.438,0.885,Burger,299.9
0.487,0.4,0.244,0.65,0.852,Burger,299.1
0.583,0.26,0.208,0.519,0.865,Burger,292.8
0.492,0.381,0.268,0.587,0.905,Burger,294.2
0.483,0.272,0.238,0.628,0.988,Burger,299.2
0.513,0.265,0.193,0.561,0.869,Burger,294.1
0.477,0.323,0.241,0.411,0.855,Burger,291.4
0.522,0.354,0.156,0.667,0.866,Burger,292.4
0.549,0.388,0.285,0.406,0.963,Burger,293.0
0.456,0.324,0.254,0.429,0.974,Burger,291.3
0.595,0.316,0.274,0.481,0.883,Burger,296.5
0.438,0.282,0.274,0.622,0.952,Burger,298.7
0.564,0.327,0.174,0.493,0.901,Burger,291.4
0.57,0.382,0.154,0.458,0.967,Burger,298.4
0.45,0.318,0.288,0.611,0.855,Burger,298.2
0.501,0.345,0.169,0.409,0.874,Burger,295.9
0.436,0.381,0.238,0.505,0.833,Burger,298.9
0.55,0.353,0.193,0.516,0.833,Burger,295.7
0.593,0.379,0.247,0.603,0.854,Burger,294.1
0.404,0.367,0.265,0.403,0.982,Burger,296.5
0.52,0.251,0.188,0.642,0.861,Burger,299.7
0.529,0.314,0.206,0.505,0.85,Burger,294.7
0.535,0.374,0.21,0.431,0.902,Burger,296.6
0.569,0.306,0.247,0.583,0.86,Burger,291.1
0.413,0.398,0.246,0.658,0.852,Burger,297.1
0.578,0.295,0.172,0.63,0.98,Burger,298.1
0.56,0.34,0.249,0.604,0.944,Burger,296.6
0.599,0.289,0.213,0.516,0.807,Burger,297.1
0.514,0.278,0.259,0.467,0.907,Burger,297.8
0.581,0.351,0.226,0.654,0.968,Burger,298.8
0.436,0.265,0.169,0.478,0.962,Burger,297.6
0.437,0.352,0.2,0.427,0.871,Burger,297.4
0.461,0.368,0.2,0.478,0.859,Burger,298.5
0.494,0.38,0.238,0.683,0.814,Burger,298.9
0.5,0.38,0.207,0.49,0.811,Burger,298.5
0.427,0.28,0.211,0.571,0.981,Burger,294.6
0.463,0.357,0.267,0.546,0.926,Burger,291.8
0.527,0.251,0.191,0.628,0.834,Burger,297.6
0.498,0.365,0.163,0.584,0.927,Burger,294.0
0.593,0.307,0.156,0.46,0.875,Burger,290.1
0.464,0.375,0.179,0.603,0.925,Burger,292.5
0.539,0.302,0.169,0.515,0.918,Burger,291.7
0.565,0.295,0.194,0.618,0.919,Burger,293.4
0.578,0.399,0.201,0.67,0.872,Burger,291.9
0.59,0.388,0.211,0.469,0.945,Burger,291.3
0.547,0.338,0.175,0.51,0.93,Burger,290.4
0.575,0.288,0.23,0.415,0.999,Burger,296.6
0.531,0.253,0.253,0.525,0.876,Burger,295.5
0.495,0.273,0.254,0.589,0.86,Burger,296.6
0.532,0.29,0.241,0.441,0.966,Burger,291.0
0.544,0.268,0.167,0.432,0.84,Burger,292.0
0.453,0.328,0.18,0.611,0.859,Burger,290.4
0.499,0.281,0.29,0.499,0.801,Burger,296.7
0.581,0.375,0.25,0.445,0.818,Burger,295.1
0.545,0.265,0.188,0.469,0.998,Burger,293.0
0.493,0.265,0.176,0.412,0.858,Burger,298.0
0.463,0.361,0.164,0.627,0.809,Burger,298.5
0.533,0.276,0.204,0.531,0.924,Burger,298.8
0.419,0.372,0.177,0.52,0.992,Burger,292.7
0.477,0.378,0.27,0.595,0.959,Burger,291.1
0.539,0.259,0.291,0.448,0.883,Burger,295.9
0.56,0.352,0.177,0.514,0.872,Burger,290.3
0.537,0.376,0.296,0.439,0.984,Burger,291.1
0.482,0.257,0.189,0.494,0.941,Burger,296.8
0.554,0.336,0.235,0.693,0.934,Burger,293.4
0.505,0.355,0.164,0.599,0.85,Burger,293.5
0.535,0.308,0.276,0.568,0.998,Burger,290.5
0.529,0.274,0.277,0.656,0.974,Burger,290.7
0.498,0.286,0.296,0.415,0.845,Burger,296.4
0.481,0.285,0.219,0.64,0.89,Burger,298.6
0.489,0.268,0.225,0.596,0.821,Burger,294.1
0.511,0.25,0.164,0.581,0.924,Burger,293.0
0.502,0.281,0.251,0.685,0.873,Burger,290.5
0.445,0.318,0.234,0.586,0.895,Burger,296.6
0.543,0.267,0.264,0.467,0.868,Burger,298.3
0.593,0.294,0.228,0.611,0.809,Burger,291.6
0.428,0.358,0.258,0.432,0.922,Burger,291.9
0.586,0.309,0.219,0.634,0.943,Burger,291.1
0.483,0.389,0.276,0.577,0.954,Burger,294.5
0.532,0.393,0.17,0.55,0.906,Burger,290.5
0.587,0.376,0.222,0.552,0.984,Burger,291.8
0.516,0.36,0.169,0.516,0.92,Burger,298.8
0.501,0.308,0.297,0.675,0.952,Burger,292.7
0.593,0.396,0.218,0.44,0.883,Burger,297.0
0.55,0.295,0.255,0.658,0.942,Burger,299.4
0.327,0.34,0.425,0.687,0.669,Sushi,141.7
0.396,0.43,0.492,0.751,0.739,Sushi,138.2
0.223,0.37,0.396,0.771,0.733,Sushi,139.2
0.35,0.468,0.357,0.854,0.762,Sushi,140.2
0.205,0.329,0.434,0.66,0.75,Sushi,136.6
0.257,0.35,0.468,0.807,0.659,Sushi,142.5
0.206,0.463,0.32,0.86,0.748,Sushi,143.6
0.348,0.412,0.348,0.835,0.76,Sushi,137.9
0.333,0.485,0.378,0.887,0.795,Sushi,138.1
0.31,0.303,0.35,0.786,0.756,Sushi,143.7
0.366,0.482,0.441,0.794,0.751,Sushi,140.5
0.321,0.455,0.493,0.688,0.635,Sushi,141.8
0.237,0.335,0.403,0.713,0.686,Sushi,140.6
0.226,0.417,0.351,0.699,0.742,Sushi,136.5
0.231,0.365,0.31,0.88,0.723,Sushi,141.6
0.298,0.415,0.372,0.835,0.664,Sushi,137.2
0.237,0.314,0.401,0.725,0.707,Sushi,135.9
0.244,0.343,0.366,0.708,0.644,Sushi,142.5
0.306,0.499,0.465,0.894,0.602,Sushi,141.7
0.289,0.481,0.423,0.786,0.792,Sushi,141.8
0.264,0.483,0.489,0.716,0.708,Sushi,137.8
0.382,0.464,0.375,0.841,0.689,Sushi,135.4
0.38,0.339,0.403,0.884,0.633,Sushi,144.6
0.308,0.301,0.313,0.801,0.755,Sushi,143.6
0.285,0.321,0.408,0.811,0.795,Sushi,142.8
0.329,0.488,0.449,0.646,0.692,Sushi,138.3
0.218,0.311,0.459,0.767,0.715,Sushi,137.3
0.252,0.378,0.426,0.73,0.603,Sushi,141.7
0.307,0.428,0.424,0.827,0.717,Sushi,142.0
0.215,0.486,0.321,0.836,0.66,Sushi,135.9
0.353,0.388,0.379,0.798,0.695,Sushi,140.3
0.227,0.378,0.459,0.764,0.792,Sushi,136.4
0.335,0.483,0.459,0.819,0.675,Sushi,144.5
0.311,0.411,0.325,0.602,0.719,Sushi,140.4
0.389,0.361,0.45,0.871,0.669,Sushi,139.1
0.329,0.403,0.332,0.666,0.767,Sushi,136.9
0.236,0.46,0.47,0.855,0.786,Sushi,144.9
0.292,0.41,0.358,0.62,0.62,Sushi,142.3
0.297,0.366,0.326,0.797,0.62,Sushi,141.2
0.38,0.364,0.39,0.785,0.661,Sushi,140.8
0.313,0.373,0.363,0.728,0.601,Sushi,137.5
0.244,0.448,0.387,0.852,0.627,Sushi,142.3
0.376,0.393,0.372,0.692,0.71,Sushi,136.8
0.321,0.468,0.472,0.642,0.708,Sushi,137.6
0.377,0.315,0.315,0.606,0.701,Sushi,135.3
0.316,0.381,0.418,0.872,0.71,Sushi,140.4
0.4,0.394,0.455,0.71,0.645,Sushi,142.7
0.347,0.358,0.393,0.753,0.679,Sushi,140.0
0.333,0.47,0.461,0.784,0.633,Sushi,140.1
0.289,0.336,0.49,0.798,0.794,Sushi,142.4
0.297,0.372,0.344,0.746,0.613,Sushi,138.7
0.209,0.341,0.482,0.708,0.694,Sushi,139.5
0.209,0.496,0.365,0.811,0.704,Sushi,143.3
0.367,0.353,0.409,0.652,0.731,Sushi,138.7
0.331,0.467,0.403,0.713,0.781,Sushi,140.2
0.271,0.474,0.397,0.745,0.721,Sushi,140.0
0.228,0.333,0.315,0.793,0.642,Sushi,136.9
0.272,0.443,0.324,0.669,0.762,Sushi,142.2
0.296,0.396,0.342,0.648,0.767,Sushi,135.2
0.209,0.415,0.332,0.789,0.608,Sushi,140.7
0.211,0.352,0.336,0.887,0.72,Sushi,140.6
0.204,0.444,0.432,0.685,0.617,Sushi,139.5
0.399,0.473,0.334,0.849,0.72,Sushi,142.9
0.364,0.336,0.432,0.679,0.745,Sushi,138.4
0.291,0.418,0.346,0.716,0.622,Sushi,137.0
0.372,0.401,0.384,0.645,0.619,Sushi,139.8
0.323,0.308,0.457,0.751,0.624,Sushi,139.8
0.226,0.421,0.466,0.869,0.755,Sushi,141.5
0.304,0.374,0.309,0.759,0.646,Sushi,143.0
0.358,0.376,0.418,0.822,0.752,Sushi,142.0
0.22,0.327,0.395,0.67,0.772,Sushi,137.8
0.375,0.382,0.338,0.813,0.758,Sushi,140.8
0.224,0.301,0.431,0.806,0.663,Sushi,138.6
0.231,0.43,0.351,0.856,0.685,Sushi,138.7
0.255,0.436,0.451,0.724,0.757,Sushi,139.8
0.274,0.411,0.351,0.692,0.669,Sushi,142.1
0.347,0.471,0.432,0.824,0.689,Sushi,142.0
0.232,0.343,0.38,0.702,0.71,Sushi,142.0
0.341,0.332,0.493,0.602,0.618,Sushi,136.5
0.385,0.387,0.313,0.667,0.616,Sushi,135.4
0.277,0.497,0.423,0.756,0.742,Sushi,141.0
0.389,0.464,0.428,0.732,0.64,Sushi,141.6
0.361,0.357,0.307,0.78,0.703,Sushi,137.3
0.234,0.307,0.348,0.6,0.631,Sushi,145.0
0.356,0.371,0.379,0.776,0.704,Sushi,142.4
0.214,0.318,0.357,0.849,0.783,Sushi,138.5
0.393,0.355,0.421,0.658,0.786,Sushi,140.7
0.252,0.381,0.321,0.622,0.659,Sushi,144.5
0.361,0.491,0.475,0.844,0.715,Sushi,141.9
0.393,0.413,0.454,0.827,0.792,Sushi,139.6
0.292,0.417,0.305,0.635,0.614,Sushi,141.3
0.399,0.435,0.346,0.695,0.791,Sushi,140.2
0.202,0.466,0.35,0.628,0.735,Sushi,143.2
0.215,0.486,0.395,0.706,0.779,Sushi,137.7
0.389,0.437,0.482,0.75,0.64,Sushi,142.4
0.375,0.341,0.341,0.675,0.724,Sushi,136.6
0.221,0.484,0.435,0.799,0.723,Sushi,142.6
0.308,0.308,0.396,0.786,0.698,Sushi,144.9
0.379,0.474,0.398,0.895,0.783,Sushi,137.8
0.244,0.415,0.311,0.84,0.696,Sushi,140.4
0.3,0.379,0.437,0.652,0.795,Sushi,142.0
0.292,0.438,0.302,0.663,0.716,Sushi,138.3
0.323,0.352,0.41,0.671,0.694,Sushi,141.1
0.273,0.4,0.342,0.81,0.674,Sushi,143.5
0.256,0.336,0.326,0.773,0.646,Sushi,136.0
0.254,0.347,0.386,0.714,0.629,Sushi,144.6
0.23,0.461,0.335,0.75,0.799,Sushi,143.5
0.303,0.444,0.457,0.69,0.712,Sushi,140.7
0.28,0.438,0.312,0.844,0.695,Sushi,141.3
0.29,0.367,0.372,0.768,0.786,Sushi,137.6
0.204,0.324,0.473,0.889,0.64,Sushi,140.8
0.33,0.335,0.456,0.707,0.735,Sushi,139.9
0.347,0.478,0.376,0.686,0.726,Sushi,136.4
0.234,0.462,0.367,0.789,0.714,Sushi,143.5
0.214,0.332,0.346,0.695,0.658,Sushi,137.7
0.329,0.354,0.389,0.859,0.673,Sushi,140.9
0.393,0.383,0.337,0.607,0.746,Sushi,141.6
0.388,0.44,0.316,0.65,0.621,Sushi,135.6
0.376,0.41,0.305,0.719,0.753,Sushi,135.8
0.252,0.331,0.431,0.866,0.662,Sushi,137.5
0.257,0.425,0.326,0.852,0.606,Sushi,141.6
0.372,0.365,0.395,0.892,0.708,Sushi,137.7
0.289,0.494,0.44,0.653,0.72,Sushi,141.3
0.327,0.413,0.405,0.792,0.662,Sushi,138.5
0.308,0.461,0.388,0.71,0.652,Sushi,138.0
0.2,0.463,0.47,0.703,0.694,Sushi,135.1
0.384,0.489,0.395,0.603,0.686,Sushi,137.9
0.246,0.301,0.375,0.724,0.712,Sushi,138.9
0.233,0.447,0.378,0.714,0.653,Sushi,139.2
0.248,0.453,0.482,0.842,0.737,Sushi,137.8
0.349,0.462,0.383,0.856,0.636,Sushi,137.9
0.327,0.424,0.354,0.787,0.638,Sushi,135.2
0.21,0.407,0.337,0.631,0.654,Sushi,142.2
0.345,0.347,0.33,0.748,0.668,Sushi,138.1
0.36,0.5,0.393,0.837,0.666,Sushi,143.4
0.39,0.311,0.455,0.621,0.694,Sushi,136.9
0.368,0.463,0.466,0.637,0.754,Sushi,137.5
0.354,0.389,0.448,0.61,0.692,Sushi,142.7
0.304,0.496,0.395,0.804,0.662,Sushi,138.2
0.326,0.308,0.487,0.756,0.651,Sushi,141.4
0.24,0.478,0.473,0.665,0.623,Sushi,141.3
0.265,0.333,0.355,0.636,0.758,Sushi,135.1
0.208,0.457,0.395,0.779,0.674,Sushi,135.9
0.232,0.318,0.424,0.879,0.799,Sushi,141.3
0.212,0.429,0.44,0.837,0.625,Sushi,137.3
0.396,0.458,0.451,0.842,0.688,Sushi,136.9
0.338,0.372,0.327,0.87,0.697,Sushi,139.4
0.259,0.439,0.338,0.656,0.67,Sushi,142.3
0.255,0.466,0.483,0.766,0.614,Sushi,136.6
0.259,0.353,0.373,0.6,0.728,Sushi,138.8
0.237,0.304,0.471,0.833,0.648,Sushi,142.2
0.332,0.408,0.377,0.757,0.7,Sushi,140.5
0.323,0.365,0.428,0.633,0.705,Sushi,135.7
0.367,0.326,0.475,0.661,0.697,Sushi,136.0
0.314,0.467,0.432,0.758,0.74,Sushi,137.6
0.273,0.421,0.314,0.879,0.642,Sushi,139.9
0.378,0.316,0.46,0.618,0.712,Sushi,144.4
0.283,0.374,0.442,0.847,0.653,Sushi,135.4
0.214,0.361,0.489,0.888,0.619,Sushi,142.3
0.306,0.338,0.405,0.675,0.725,Sushi,136.8
0.35,0.383,0.321,0.792,0.672,Sushi,139.6
0.333,0.477,0.333,0.654,0.68,Sushi,138.4
0.232,0.5,0.389,0.706,0.663,Sushi,144.9
0.265,0.374,0.453,0.729,0.745,Sushi,141.1
0.313,0.343,0.453,0.878,0.651,Sushi,144.6
0.289,0.379,0.445,0.895,0.719,Sushi,140.2
0.399,0.36,0.36,0.667,0.771,Sushi,135.2
0.364,0.438,0.355,0.766,0.711,Sushi,144.3
0.231,0.308,0.371,0.642,0.673,Sushi,140.8
0.247,0.462,0.318,0.72,0.784,Sushi,142.3
0.345,0.459,0.335,0.848,0.738,Sushi,140.8
0.382,0.419,0.36,0.819,0.715,Sushi,135.8
0.211,0.454,0.37,0.845,0.683,Sushi,143.7
0.374,0.345,0.431,0.781,0.602,Sushi,142.8
0.276,0.361,0.308,0.762,0.63,Sushi,140.0
0.244,0.31,0.446,0.718,0.689,Sushi,141.0
0.301,0.344,0.358,0.718,0.626,Sushi,135.8
0.314,0.31,0.38,0.626,0.7,Sushi,142.7
0.226,0.327,0.412,0.746,0.73,Sushi,137.0
0.323,0.447,0.349,0.621,0.755,Sushi,138.2
0.385,0.318,0.434,0.727,0.67,Sushi,138.2
0.319,0.305,0.361,0.896,0.723,Sushi,144.9
0.288,0.329,0.309,0.845,0.64,Sushi,138.7
0.352,0.471,0.322,0.616,0.79,Sushi,144.3
0.374,0.464,0.303,0.808,0.622,Sushi,139.5
0.205,0.342,0.408,0.661,0.705,Sushi,137.6
0.297,0.446,0.328,0.81,0.604,Sushi,140.8
0.333,0.309,0.334,0.685,0.758,Sushi,141.2
0.211,0.431,0.302,0.717,0.654,Sushi,143.5
0.332,0.473,0.304,0.86,0.73,Sushi,137.3
0.276,0.495,0.32,0.695,0.773,Sushi,140.3
0.237,0.4,0.392,0.878,0.604,Sushi,137.5
0.306,0.367,0.379,0.647,0.669,Sushi,138.5
0.325,0.347,0.496,0.75,0.762,Sushi,141.3
0.376,0.478,0.463,0.609,0.711,Sushi,137.8
0.23,0.479,0.431,0.626,0.676,Sushi,144.6
0.322,0.425,0.345,0.672,0.631,Sushi,144.7
0.382,0.366,0.408,0.662,0.628,Sushi,140.4
0.36,0.473,0.362,0.812,0.705,Sushi,136.4
0.399,0.495,0.329,0.88,0.783,Sushi,138.2
0.711,0.69,0.124,0.779,0.82,Pasta,160.3
0.753,0.676,0.183,0.803,0.711,Pasta,162.3
0.779,0.687,0.155,0.895,0.627,Pasta,154.8
0.752,0.622,0.153,0.842,0.658,Pasta,155.3
0.737,0.572,0.238,0.819,0.726,Pasta,159.0
0.742,0.575,0.27,0.823,0.634,Pasta,154.9
0.606,0.653,0.103,0.767,0.703,Pasta,160.4
0.798,0.652,0.113,0.932,0.846,Pasta,161.7
0.698,0.565,0.192,0.762,0.701,Pasta,153.4
0.747,0.576,0.163,0.853,0.786,Pasta,158.9
0.705,0.675,0.257,0.83,0.713,Pasta,161.3
0.608,0.699,0.204,0.799,0.784,Pasta,158.6
0.703,0.626,0.11,0.773,0.7,Pasta,156.0
0.766,0.592,0.184,0.853,0.614,Pasta,158.2
0.628,0.666,0.19,0.881,0.628,Pasta,160.8
0.788,0.639,0.127,0.803,0.713,Pasta,154.8
0.718,0.643,0.14,0.814,0.663,Pasta,159.9
0.781,0.659,0.244,0.731,0.629,Pasta,157.5
0.673,0.605,0.177,0.898,0.728,Pasta,162.5
0.676,0.576,0.254,0.928,0.741,Pasta,159.6
0.63,0.674,0.136,0.878,0.705,Pasta,156.1
0.754,0.589,0.225,0.729,0.633,Pasta,155.0
0.725,0.551,0.192,0.914,0.736,Pasta,153.1
0.777,0.548,0.218,0.819,0.703,Pasta,153.8
0.72,0.549,0.209,0.855,0.739,Pasta,161.3
0.61,0.53,0.231,0.709,0.813,Pasta,159.7
0.768,0.56,0.284,0.712,0.704,Pasta,154.8
0.734,0.622,0.238,0.849,0.797,Pasta,154.8
0.691,0.616,0.286,0.723,0.675,Pasta,156.7
0.676,0.514,0.185,0.838,0.673,Pasta,154.3
0.739,0.555,0.205,0.831,0.774,Pasta,159.1
0.622,0.646,0.226,0.947,0.721,Pasta,159.9
0.787,0.697,0.157,0.852,0.679,Pasta,158.3
0.799,0.571,0.126,0.841,0.73,Pasta,159.3
0.699,0.536,0.222,0.877,0.845,Pasta,153.0
0.605,0.625,0.124,0.912,0.8,Pasta,163.0
0.683,0.567,0.212,0.859,0.603,Pasta,155.0
0.656,0.658,0.162,0.827,0.681,Pasta,153.1
0.737,0.568,0.245,0.854,0.607,Pasta,154.8
0.666,0.568,0.234,0.929,0.799,Pasta,159.5
0.696,0.625,0.278,0.834,0.684,Pasta,160.8
0.683,0.649,0.267,0.775,0.781,Pasta,156.2
0.707,0.542,0.237,0.9,0.822,Pasta,156.5
0.794,0.556,0.106,0.946,0.757,Pasta,161.4
0.714,0.578,0.219,0.916,0.788,Pasta,160.1
0.663,0.506,0.183,0.824,0.659,Pasta,157.5
0.79,0.543,0.16,0.728,0.796,Pasta,160.8
0.783,0.589,0.105,0.821,0.725,Pasta,154.9
0.785,0.646,0.205,0.894,0.636,Pasta,161.7
0.764,0.688,0.235,0.733,0.781,Pasta,157.6
0.743,0.604,0.101,0.933,0.772,Pasta,158.9
0.617,0.593,0.109,0.83,0.765,Pasta,156.1
0.716,0.562,0.278,0.78,0.648,Pasta,155.8
0.664,0.588,0.124,0.737,0.668,Pasta,153.2
0.725,0.603,0.141,0.788,0.68,Pasta,154.4
0.741,0.557,0.149,0.718,0.753,Pasta,156.4
0.689,0.526,0.194,0.869,0.626,Pasta,153.5
0.685,0.536,0.219,0.848,0.809,Pasta,160.0
0.723,0.562,0.263,0.878,0.768,Pasta,158.3
0.795,0.651,0.193,0.733,0.803,Pasta,162.2
0.694,0.591,0.237,0.878,0.716,Pasta,155.3
0.645,0.672,0.223,0.928,0.698,Pasta,160.0
0.733,0.658,0.276,0.813,0.608,Pasta,157.8
0.67,0.592,0.134,0.892,0.751,Pasta,154.3
0.621,0.664,0.259,0.781,0.762,Pasta,160.9
0.707,0.58,0.183,0.855,0.737,Pasta,162.7
0.677,0.568,0.263,0.848,0.796,Pasta,157.4
0.757,0.609,0.147,0.866,0.619,Pasta,162.3
0.715,0.597,0.218,0.816,0.739,Pasta,161.2
0.635,0.691,0.114,0.727,0.804,Pasta,160.7
0.676,0.599,0.232,0.723,0.804,Pasta,161.9
0.781,0.627,0.1,0.737,0.637,Pasta,158.3
0.678,0.616,0.139,0.87,0.679,Pasta,158.7
0.783,0.561,0.289,0.809,0.846,Pasta,156.4
0.618,0.502,0.297,0.801,0.632,Pasta,155.9
0.674,0.61,0.111,0.876,0.805,Pasta,156.6
0.772,0.673,0.147,0.876,0.699,Pasta,156.2
0.677,0.576,0.209,0.866,0.719,Pasta,154.9
0.677,0.685,0.268,0.739,0.849,Pasta,159.7
0.627,0.514,0.103,0.88,0.722,Pasta,157.4
0.798,0.517,0.228,0.804,0.714,Pasta,160.9
0.721,0.585,0.136,0.827,0.738,Pasta,157.5
0.671,0.537,0.221,0.844,0.812,Pasta,155.4
0.7,0.582,0.209,0.792,0.845,Pasta,158.7
0.741,0.523,0.196,0.873,0.636,Pasta,160.3
0.797,0.697,0.256,0.816,0.62,Pasta,161.9
0.618,0.594,0.248,0.94,0.62,Pasta,159.3
0.76,0.562,0.111,0.786,0.795,Pasta,157.7
0.703,0.594,0.247,0.805,0.84,Pasta,161.0
0.658,0.507,0.285,0.887,0.782,Pasta,158.6
0.612,0.595,0.134,0.713,0.848,Pasta,161.1
0.725,0.557,0.117,0.826,0.813,Pasta,155.8
0.627,0.556,0.272,0.704,0.628,Pasta,154.7
0.718,0.53,0.189,0.902,0.665,Pasta,160.0
0.697,0.66,0.272,0.786,0.621,Pasta,154.5
0.787,0.531,0.199,0.948,0.793,Pasta,155.4
0.688,0.628,0.142,0.884,0.686,Pasta,159.4
0.751,0.523,0.134,0.8,0.675,Pasta,160.5
0.75,0.607,0.176,0.876,0.719,Pasta,154.5
0.774,0.502,0.285,0.812,0.77,Pasta,162.6
0.737,0.508,0.284,0.859,0.839,Pasta,157.3
0.784,0.672,0.167,0.767,0.625,Pasta,159.5
0.678,0.655,0.25,0.884,0.747,Pasta,154.9
0.667,0.638,0.136,0.837,0.768,Pasta,161.3
0.602,0.52,0.121,0.811,0.655,Pasta,155.8
0.639,0.505,0.118,0.935,0.764,Pasta,161.4
0.79,0.628,0.242,0.73,0.814,Pasta,154.3
0.731,0.68,0.213,0.942,0.824,Pasta,160.0
0.651,0.593,0.287,0.86,0.831,Pasta,155.8
0.685,0.681,0.254,0.781,0.64,Pasta,153.7
0.755,0.577,0.167,0.715,0.839,Pasta,155.6
0.688,0.598,0.286,0.853,0.645,Pasta,157.9
0.629,0.654,0.144,0.861,0.828,Pasta,160.2
0.621,0.515,0.214,0.763,0.711,Pasta,162.0
0.63,0.628,0.287,0.866,0.667,Pasta,160.0
0.781,0.615,0.203,0.935,0.723,Pasta,157.4
0.769,0.656,0.257,0.835,0.601,Pasta,162.5
0.764,0.596,0.213,0.934,0.69,Pasta,159.8
0.68,0.626,0.292,0.723,0.734,Pasta,162.6
0.616,0.592,0.253,0.862,0.644,Pasta,153.4
0.677,0.538,0.239,0.924,0.758,Pasta,156.6
0.617,0.627,0.247,0.735,0.648,Pasta,160.2
0.719,0.598,0.113,0.835,0.677,Pasta,158.3
0.767,0.59,0.299,0.709,0.614,Pasta,160.9
0.609,0.524,0.261,0.867,0.715,Pasta,159.8
0.775,0.53,0.216,0.931,0.609,Pasta,154.4
0.731,0.594,0.284,0.711,0.775,Pasta,154.3
0.634,0.51,0.161,0.898,0.714,Pasta,154.7
0.718,0.664,0.121,0.824,0.8,Pasta,155.2
0.761,0.585,0.262,0.946,0.77,Pasta,156.2
0.795,0.615,0.127,0.909,0.798,Pasta,160.6
0.719,0.567,0.124,0.735,0.704,Pasta,160.0
0.711,0.588,0.285,0.71,0.625,Pasta,161.5
0.722,0.656,0.103,0.822,0.602,Pasta,154.8
0.618,0.63,0.277,0.804,0.802,Pasta,160.7
0.738,0.541,0.228,0.831,0.703,Pasta,162.4
0.722,0.508,0.136,0.825,0.838,Pasta,159.3
0.757,0.57,0.101,0.759,0.629,Pasta,158.3
0.619,0.572,0.252,0.835,0.655,Pasta,160.7
0.732,0.555,0.139,0.899,0.771,Pasta,162.7
0.695,0.535,0.234,0.711,0.761,Pasta,155.9
0.687,0.567,0.261,0.89,0.611,Pasta,160.4
0.785,0.535,0.257,0.821,0.629,Pasta,162.0
0.744,0.619,0.165,0.75,0.769,Pasta,156.3
0.756,0.565,0.12,0.884,0.817,Pasta,156.8
0.644,0.594,0.197,0.923,0.636,Pasta,162.3
0.691,0.577,0.127,0.88,0.758,Pasta,162.8
0.64,0.525,0.238,0.715,0.634,Pasta,161.5
0.692,0.534,0.169,0.922,0.751,Pasta,160.9
0.728,0.622,0.134,0.943,0.814,Pasta,153.9
0.771,0.598,0.299,0.848,0.809,Pasta,155.8
0.746,0.647,0.149,0.782,0.745,Pasta,161.9
0.718,0.53,0.215,0.701,0.845,Pasta,153.4
0.694,0.654,0.107,0.833,0.72,Pasta,161.0
0.764,0.59,0.148,0.84,0.603,Pasta,160.3
0.79,0.527,0.159,0.862,0.623,Pasta,157.8
0.661,0.641,0.272,0.887,0.606,Pasta,157.5
0.754,0.675,0.181,0.897,0.693,Pasta,157.6
0.727,0.672,0.114,0.923,0.683,Pasta,153.3
0.685,0.554,0.289,0.836,0.799,Pasta,160.9
0.616,0.676,0.247,0.714,0.836,Pasta,159.7
0.778,0.522,0.173,0.855,0.691,Pasta,154.8
0.712,0.513,0.242,0.751,0.845,Pasta,155.4
0.623,0.596,0.288,0.845,0.84,Pasta,155.1
0.749,0.545,0.171,0.767,0.77,Pasta,155.8
0.613,0.569,0.197,0.832,0.631,Pasta,160.1
0.736,0.607,0.158,0.855,0.8,Pasta,162.5
0.762,0.688,0.113,0.923,0.714,Pasta,153.8
0.78,0.558,0.291,0.727,0.669,Pasta,160.0
0.699,0.675,0.204,0.857,0.673,Pasta,162.7
0.708,0.526,0.169,0.811,0.761,Pasta,155.9
0.613,0.674,0.146,0.937,0.761,Pasta,157.1
0.669,0.629,0.165,0.848,0.774,Pasta,161.4
0.689,0.561,0.126,0.897,0.643,Pasta,155.6
