square_feet,bedrooms,bathrooms,age_years,garage_spaces,price
3409,2,1,46,2,762981.62
2874,4,4,12,1,846961.78
3625,2,4,0,1,918360.76
1150,6,3,50,3,492696.72
2902,5,1,25,0,730529.47
845,2,3,30,0,323693.65
1970,3,3,23,2,587547.51
2286,1,3,43,1,570662.31
3261,6,2,49,2,832249.18
3357,5,4,49,3,958178.66
2160,5,3,29,1,684097.64
3223,3,4,40,3,888199.58
892,1,2,21,1,294227.82
3274,3,3,38,3,815987.16
2422,3,4,26,1,674840.98
694,2,2,42,2,290233.72
3470,6,1,13,1,867327.59
991,1,4,35,0,339457.72
2226,5,1,6,2,652222.98
945,6,4,19,1,494217.37
1763,4,2,8,1,525553.11
3317,3,3,30,3,893144.06
2814,3,4,8,1,798174.64
2470,6,4,33,2,819546.56
2572,5,2,5,3,745221.44
2288,3,2,19,0,565711.5
3939,2,3,18,3,960474.37
3417,4,4,19,0,923255.81
3868,3,2,50,0,854680.83
1372,4,4,25,1,511013.02
3619,6,4,24,1,972114.59
2329,6,2,33,2,676380.46
3643,5,3,26,1,970902.95
1347,2,3,7,3,496573.1
1714,6,4,12,2,640360.21
803,5,1,11,0,337830.22
1112,6,4,46,0,477413.82
1217,1,4,13,2,450919.69
3818,4,3,29,0,910802.03
4055,2,1,17,3,870780.65
2525,2,2,16,3,684685.65
1099,6,2,24,3,477138.21
737,2,4,47,0,320621.34
1453,4,4,43,2,560638.7
1249,6,1,47,0,399559.09
3215,3,2,23,0,789892.08
1492,1,2,40,3,410684.31
1285,3,1,25,1,363930.52
772,5,4,44,1,414618.49
966,2,2,31,0,317302.36
1986,6,1,3,2,637901.01
3472,5,1,8,3,863988.99
2887,6,3,28,1,781222.24
2147,3,2,16,0,572152.82
2392,5,3,34,3,704175.39
1364,5,3,20,3,540907.8
4005,5,2,4,1,991083.03
3956,3,3,29,0,952639.25
2672,4,2,1,2,763631.34
1578,3,1,42,3,432681.74
3398,4,2,39,2,817073.34
3225,3,1,6,0,715234.53
4441,2,2,2,1,964726.07
1384,1,1,36,3,373648.98
2753,5,3,3,2,792924.22
3540,1,1,13,3,828328.11
4008,1,4,40,0,895845.41
3645,4,3,50,0,897460.09
1688,5,1,46,0,482701.79
919,2,1,6,1,313805.41
1376,2,2,36,1,398675.67
2886,4,1,49,2,702151.91
3477,6,4,6,1,1020029.26
2852,4,3,42,1,749753.11
3057,4,3,20,2,855048.74
2288,6,4,46,2,746081.77
2906,5,2,24,2,772837.33
2453,4,4,0,0,779727.54
3040,1,2,19,0,670930.86
1508,2,3,1,2,534271.23
2694,5,2,6,0,733272.46
1239,2,3,23,1,410357.63
3922,3,1,36,3,893498.62
1490,6,1,46,2,499669.03
1308,4,1,38,2,392348.39
3910,5,4,5,0,1075901.9
1969,3,4,26,0,620180.64
1528,6,1,40,3,491731.86
2747,1,3,34,1,650924.41
3458,2,2,3,3,891221.65
3683,5,1,14,3,900224.39
2215,2,2,21,0,553235.96
3652,1,4,16,0,862577.44
2379,6,2,48,1,666241.55
1411,4,4,41,1,519996.36
3613,5,2,15,0,874475.54
2361,3,1,7,3,628542.18
2026,2,3,22,0,568334.43
1293,3,4,39,1,469592.46
4385,2,2,43,2,926613.06
3583,1,1,47,0,698045.57
3143,2,3,0,2,832277.51
1055,3,4,30,0,417043.63
3631,5,2,13,2,935678.94
3151,6,2,44,0,790261.87
4311,6,1,16,1,983099.58
1422,6,3,3,3,618902.03
634,1,4,42,2,316973.23
4339,6,3,6,0,1077678.83
4218,6,4,14,3,1149510.88
3506,1,3,31,0,766592.76
2650,4,1,2,1,716895.85
1848,3,4,25,1,563373.42
3402,3,3,40,2,819175.06
2653,3,1,40,2,656767.89
4247,1,3,14,1,948644.85
2209,6,2,5,3,719151.85
3377,5,2,26,1,859767.22
2346,3,3,28,1,626483.82
1167,5,2,8,2,490368.96
4280,5,2,27,1,1035326.26
2913,2,3,4,0,715759.28
4038,2,1,48,2,886909.61
2295,4,3,28,2,652448.17
1369,1,2,11,0,395170.93
3106,5,3,38,1,831950.22
1545,6,1,22,0,503727.18
2552,2,4,45,2,666373.79
